locationName,centerType,address1,address2,city,state,zip,phoneNumber,phoneExtension,websiteUrl,latitude,longitude
Salem Health  Hospitals and Clinics,hospital-based,890 Oak St SE,,Salem,Oregon,97301,503 561-5200,,https://www.salemhealth.org/,44.932562,-123.034219
"OHSU Knight Cancer Institute Clinic, Beaverton",hospital-based,15700 SW Greystone Ct,,Beaverton,Oregon,97006,971 262-9000,,https://www.ohsu.edu/knight-cancer-institute/ohsu-knight-cancer-institute-beaverton?utm_source=gmb&utm_medium=organic&utm_content=975e13f4-8900-5d9f-8c59-26d99b75ba68,45.5139591,-122.8383402
Providence St. Vincent Medical Center,hospital-based,9205 SW Barnes Rd,,Portland,Oregon,97225,,,https://www.providence.org/locations/or/st-vincent-medical-center/family-maternity-center?y_source=1_OTU3NjM5Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D#llai,45.510153,-122.771881
Compass Oncology - West,stand-alone imaging center,12123 SW 69th Ave,,Tigard,Oregon,97223,,,https://www.compassoncology.com/locations-physicians/locations/west-cancer-center?utm_campaign=Rio-Listings&utm_source=local-listings&utm_medium=googl,45.432682,-122.748152
Legacy Meridian Park Medical Center,hospital-based,19260 SW 65th Ave,,Tualatin,Oregon,97062,,,https://www.legacyhealth.org/doctors-and-locations/hospitals/legacy-meridian-park-medical-center,45.378709,-122.743038
Legacy--Good Samaritan,hospital-based,1015 NW 22nd Ave,,Portland,Oregon,97210,503-413-7155,,https://www.legacyhealth.org/doctors-and-locations/hospitals/legacy-good-samaritan-medical-center?utm_campaign=website-link&utm_medium=organic&utm_sou,45.530092,-122.697588
OHSU - Lamfrom,hospital-based,3215 SW Pavilion Loop,,Portland,Oregon,97239,,,https://www.ohsu.edu/visit/lamfrom-biomedical-research-building?utm_source=gmb&utm_medium=organic&utm_content=building-lamfrom-marquamhill,45.500523,-122.686375
OHSU KNIGHT CANCER INSTITUTE,hospital-based,3181 SW Sam Jackson Park Rd,,Portland,Oregon,97239,503-494-8468,,https://www.ohsu.edu/,45.498368,-122.685346
Peter O. Kohler Pavilion,hospital-based,808 SW Campus Dr,,Portland,Oregon,97239,503 494-8311,,https://www.ohsu.edu/visit/peter-o-kohler-pavilion?utm_source=gmb&utm_medium=organic&utm_content=Building-KohlerPavilion,45.4991139,-122.6851334
VA Portland Health Care System,hospital-based,3710 SW US Veterans Hospital Rd,,Portland,Oregon,97239,503 220-8262,,,45.496528,-122.683036
Portland Adventist Medical Center,hospital-based,10201 SE Main St,Building 3,Portlan,Oregon,97216,503-261-4460,,https://www.adventisthealth.org/locations/adventist-health-primary-care-portland/,45.514643,-122.55818
Alliance - 24920 - Portland Adventist Medical Cent,hospital-based,0201 SE Main St,Building 3,Portland,Oregon,97216,503-261-4460,,https://www.adventisthealth.org/locations/adventist-health-portland-professional-building-/,45.514047,-122.559705
Providence Portland Medical Center,hospital-based,4805 NE Glisan St,,Portland,Oregon,97213,,,https://www.providence.org/locations/or/portland-medical-center?y_source=1_OTU3NjMxMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D#llaid=5719,45.527387,-122.613666
Compass Oncology - Vancouver Cancer Center,stand-alone imaging center,210 SE 136th Ave,,Vancouver,Washington,98684,,,https://www.compassoncology.com/locations-physicians/locations/vancouver?utm_campaign=Rio-Listings&utm_source=local-listings&utm_medium=google,45.619831,-122.534444
Kadlec Outpatient Imaging Center,hospital-based,945 Goethals Dr,,Richland,Washington,99352,509 942-2655,,https://www.providence.org/locations/kadlec/outpatient-imaging-center?ls=location&y_source=1_Mjk0MDE5NTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,46.2791222,-119.2813503
Summit Cancer Centers,hospital-based,6001 N Mayfair St,,Spokane,Washington,99208,509 462-2273,,https://www.summitcancercenters.com/?utm_source=GMBSocialClimb&utm_medium=SummitCancerCenters,47.7124747,-117.4089363
Madigan Army Medical Center,hospital-based,9040A Jackson Ave,,Tacoma,Washington,98431,,,,47.109759,-122.55207
TACOMA RADIOLOGICAL ASSOCIATES,stand-alone imaging center,2502 South Union Ave,,Tacoma,Washington,98405,253-761-4200,,https://www.tranow.com/locations/tacoma/,47.237359,-122.482399
Olympic Medical Center,hospital-based,844 N. 5th Ave,,Sequim,Washington,98382,907-202-6485,,https://www.olympicmedical.org/,48.089437,-123.111723
"Sound Cancer Care, pllc",stand-alone imaging center,2940 S. Meridian,Suite 100,Puyallup,Washington,98373,2532003166,,https://www.soundcancercare.com/,47.162672,-122.293547
VIRGINIA MASON MEDICAL CENTER,hospital-based,1100 Ninth Avenue Buck Pavillion,Level  5,Seattle,Washington,98101,206-341-1700,,https://www.virginiamason.org/directory,47.609479,-122.327933
SWEDISH MEDICAL CENTER,hospital-based,1221 Madison St,Suite 150,Seattle,Washington,98104,206-215-6487,,https://www.swedish.org/locations/pet-ct-imaging-at-swedish-cancer-institute,47.60992,-122.323121
Seattle Radiology,stand-alone imaging center,1229 Madison,Suite 900,Seattle,Washington,98104,206-292-7734,,https://www.searad.com/,47.610087,-122.322114
SEATTLE CANCER CARE ALLIANCE,hospital-based,825  Eastlake Ave E,,Seattle,Washington,98109,206-606-7222,,https://www.seattlecca.org/,47.626455,-122.329495
Valley Diagnostic Imaging Services ? Medical Arts,hospital-based,"4033 Talbot Rd S, Suite 360",,Renton,Washington,98055,4256906290,,,47.444228,-122.214555
University of Washington,hospital-based,1959 NE Pacific St,,Seattle,Washington,98195,,,,47.649944,-122.308368
Overlake Medical Center,hospital-based,1035 116th Ave NE,,Bellevue,Washington,98004,425 688-5000,,https://www.overlakehospital.org/,47.6203863,-122.1876044
Swedish Issaquah Campus,hospital-based,751 NE Blakely Dr,,Issaquah,Washington,98029,425 313-5373,,https://www.swedish.org/locations/issaquah-campus?Is=location&y_source=1_OTU3NjYyNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,47.535856,-122.021493
Evergreen Radia,stand-alone imaging center,11521 NE 128th St.,#200,Kirkland,Washington,98034,,,https://evergreenradia.com/,47.714409,-122.187297
ALLIANCE-22179-MT. BAKER IMAGING,hospital-based,2930 Squalicum Pkway,Suite 201,Bellingham,Washington,98225,360-647-2422,,https://mtbakerimaging.com/,48.771974,-122.475319
Swedish Edmonds Campus,hospital-based,21601 76th Ave W,,Edmonds,Washington,98026,425 640-4000,,,47.803314,-122.334444
Providence Regional Cancer Partnership,hospital-based,1700 13th St,,Everett,Washington,98201,,,https://www.providence.org/locations/wa/providence-regional-medical-center-everett/cancer-partnership?y_source=1_OTU3NjU3My03MTUtbG9jYXRpb24ud2Vic2l0Z,47.999642,-122.204576
Lompoc Valley Medical Center,hospital-based,1515 E Ocean Ave,,Lompoc,California,93436,805 737-3300,,https://www.lompocvmc.com/locations/lompoc-valley-medical-center/,34.641138,-120.439519
RIDLEY-TREE CANCER CENTER/CANCER CENTER OF SANTA BARBARA,hospital-based,300 W. Pueblo St.,,Santa Barbara,California,93105,805-563-5870,,https://www.ridleytreecc.org/cancer-center/locations/location/details/cancer-center-of-santa-barbara-300-west-pueblo-st,34.430674,-119.721977
Marian Medical Center,hospital-based,1325 E Church St,,Santa Maria,California,93454,805 219-4673,,https://locations.dignityhealth.org/mission-hope-cancer-center-santa-maria?utm_source=LocalSearch&utm_medium=Facility&utm_campaign=CentralCoast&utm_te,34.952415,-120.415147
GROSSMAN IMAGING CENTER - VENTURA,stand-alone imaging center,2900 Loma Vista Rd,Suite 101,Ventura,California,93003,805-988-0616,,https://www.grossmanimaging.com/,34.275315,-119.25673
GROSSMAN IMAGING CENTER-OXNARD,stand-alone imaging center,2151  East Gozales,Suite 101,Oxnard,California,93036,805-988-0616,,https://www.grossmanimaging.com/,34.219438,-119.149876
PALMS IMAGING CENTER,stand-alone imaging center,1901 Outlet Center Dr,#120,Oxnard,California,93036,805-604-9500,,http://www.palmsimaging.com/,34.220037,-119.149558
Five Cities Medical Imaging,hospital-based,921 N Oak Park Blvd,#102,Pismo Beach,California,93449,,,https://rasloimaging.com/,35.136005,-120.605202
COMMONSPIRIT HEALTH - FRENCH HOSPITAL MED CTR,stand-alone imaging center,1100 Monterey St,#210,San Luis Obispo,California,93401,877-421-1270,,https://www.dignityhealth.org/central-coast/locations/frenchhospital/services/sanluisdiagnosticcenter,35.282917,-120.659849
RADNET - ROLLING OAKS RADIOLOGY THOUSAND OAKS,stand-alone imaging center,415 Rolling Oaks Radiology,Suite 125,Thousand Oaks,California,91361,805-778-1513,,https://www.radnet.com/rolling-oaks-radiology/locations/rolling-oaks-radiology-thousand-oaks,34.174973,-118.869108
PROVIDENCE OUTPATIENT IMAGING - TORRANCE,stand-alone imaging center,5215 Torrance Blvd,Suite 110,Torrance,California,90503,310-303-6500,,https://www.providence.org/locations/outpatient-imaging-center-torrance?y_source=1_OTU3NjAxNC03MTUtbG9jYXRpb24uZ29vZ2xlX3dlYnNpdGVfb3ZlcnJpZGU%3D#llaid=6045,33.838723,-118.369387
Torrance Medical Memorial,stand-alone imaging center,3275 Skypark Dr,,Torrance,California,90505,,,https://www.torrancememorial.org/medical-services/radiology-imaging/,33.808663,-118.342999
Harbor-UCLA Medical Center,hospital-based,1000 W Carson St,,Torrance,California,90502,310 222-2345,,https://dhs.lacounty.gov/harbor-ucla-medical-center/,33.830459,-118.292219
Imaging Healthcare Specialists - San Diego,hospital-based,150 W Washington St,,San Diego,California,92103,,,https://www.imaginghealthcare.com/locations/hillcrest/,32.750201,-117.164663
IMAGING HEALTH CARE SPECIALISTS- SAN DIEGO,stand-alone imaging center,150  West Washington St,,San Diego,California,92103,858-877-1023,,https://www.imaginghealthcare.com/locations/hillcrest/,32.750201,-117.164663
Naval Medical Center,hospital-based,34800 Bob Wilson Dr,,San Diego,California,92134,,,https://www.med.navy.mil/NMRTC-San-Diego-CA/,32.727424,-117.145341
Sharp Memorial Outpatient Pavilion,hospital-based,3075 Health Center Dr.,,San Diego,California,92123,,,,32.798834,-117.15506
UCSD- MEDICAL CENTER DRIVE,hospital-based,9436 Medical Center Dr,,La Jolla,California,92037,619-543-3405,,https://health.ucsd.edu/about/pages/contactus.aspx,32.876827,-117.225864
