order,Center,Address,City,State,ZIP,ContactPerson,PhoneNumberPrefix,PhoneNumber,PhoneNumber2Prefix,PhoneNumber2,Website,CertificationStatus,Latitude,Longitude
1,UTAH CANCER SPECIALISTS,"3838 SOUTH 700 EAST, SUITE 100",SALT LAKE CITY,UT,84106,,(801),281-6860,,,https://www.utahcancer.com,,40.7079,-111.8509
2,"CANCER PARTNERS OF NEBRASKA, P.C.",201 SOUTH 68TH STREET PLACE,LINCOLN,NE,68510,,(402),420-7000,,,https://cancerpartners.com,,40.8046,-96.6157
3,NEBRASKA CANCER SPECIALISTS - OMAHA,"17201 WRIGHT STREET, SUITE 203",OMAHA,NE,68130,,(402),691-5257,,,https://nebraskacancer.com/nuclear-medicine/,,41.2395,-96.2004
4,UROLOGY CANCER CENTER PC,17607 GOLD PLAZA,OMAHA,NE,68130,NUCLEAR MEDICINE,(402),991-8468,,,https://www.gucancer.com,,41.2347,-96.1904
5,"OKLAHOMA PET CENTER, LLC",8224 SILVER CROSSING,OKLAHOMA,OK,73132,,(405),877-4049,,,,,35.5588,-97.6385
6,SIMONMED IMAGING PRESCOTT VALLEY,3033 N WINDSONG DRIVE SUITE 102,PRESCOTT VALLEY,AZ,86314,,(602),688-6123,,,https://www.SimonMed.com,,34.6063,-112.3099
7,MAYO CLINIC ARIZONA,5881 E. MAYO BLVD,PHOENIX,AZ,85054,,(480),301-8000,,,https://mayoclinic.org,,33.6923,-111.9403
8,SIMONMED IMAGING DESERT RIDGE,20830 N TATUM BLVD STE 190,PHOENIX,AZ,85050,,(602),688-6123,,,https://www.SimonMed.com,,33.6629,-112.0182
9,SIMONMED IMAGING GREENFIELD,1425 S GREENFIELD RD STE 114 BLDG 2,MESA,AZ,85206,,(602),688-6123,,,https://www.simonmed.com,,33.3952,-111.7018
10,SIMONMED IMAGING FASHION SQUARE,6740 E CAMELBACK ROAD SUITE 100,SCOTTSDALE,AZ,85251,,(602),688-6123,,,https://www.SimonMed.com,,33.4986,-111.9224
11,ARIZONA ONCOLOGY ASSOCIATES ARROWHEAD,"6525 W. SACK DR., #105",GLENDALE,AZ,85308,,(623),888-5400,,,https://arizonaoncology.com/locations/arrowhead-radiation-oncology-and-imaging-center/,,33.6645,-112.2026
12,SIMONMED IMAGING THUNDERBIRD,5410 W. THUNDERBIRD ROAD SUITE 100,GLENDALE,AZ,85306,,(602),688-6123,,,https://www.SimonMed.com,,33.6223,-112.1728
13,SIMONMED IMAGING GILBERT COPPERPOINT,3570 S. VAL VISTA DRIVE SUITE 101,GILBERT,AZ,85297,,(602),688-6123,,,https://www.SimonMed.com,,33.2775,-111.7317
14,SIMONMED IMAGING PEORIA PLAZA,9403 W THUNDERBIRD ROAD SUITE 112,PEORIA,AZ,85381,,(602),688-6123,,,https://www.SimonMed.com,,33.6111,-112.2324
15,SIMONMED IMAGING CHANDLER SOUTH,725 S DOBSON ROAD SUITE 105,CHANDLER,AZ,85224,,(602),688-6123,,,https://www.SimonMed.com,,33.326,-111.8747
16,SIMONMED IMAGING CENTRAL PHOENIX,2620 N. 3RD STREET SUITE 102,PHOENIX,AZ,85004,,(602),688-6123,,,https://www.SimonMed.com,,33.4528,-112.0685
