order,Center,Address,City,State,ZIP,ContactPerson,PhoneNumberPrefix,PhoneNumber,PhoneNumber2Prefix,PhoneNumber2,Website,CertificationStatus,Latitude,Longitude
1,NEW MEXICO ONCOLOGY AND HEMATOLOGY CONSULTANTS,4901 LANG,ALBUQUERQUE,NM,87109,,(505),842-8171,,,https://nmcancercenter.org,,35.159,-106.5761
2,NEBRASKA CANCER SPECIALISTS - GRAND ISLAND,2730 WEST FAIDLEY AVENUE,GRAND ISLAND,NE,68803,,(402),691-5257,,,https://nebraskacancer.com/nuclear-medicine/,,40.9533,-98.4184
3,BSA HEALTH SYSTEMS,1600 WALLACE BLVD,AMARILLO,TX,79106,,(806),212-5959,,,,,35.2019,-101.8949
4,UTAH CANCER SPECIALISTS,"3838 SOUTH 700 EAST, SUITE 100",SALT LAKE CITY,UT,84106,,(801),281-6860,,,https://www.utahcancer.com,,40.7079,-111.8509
5,INTERMOUNTAIN MEDICAL CENTER,5121 S. COTTONWOOD ST. BUILDING 2,MURRAY,UT,84107,,(801),507-7000,,,https://intermountainhealthcare.org/locations/intermountain-medical-center/,,40.6621,-111.8867
6,"CANCER PARTNERS OF NEBRASKA, P.C.",201 SOUTH 68TH STREET PLACE,LINCOLN,NE,68510,,(402),420-7000,,,https://cancerpartners.com,,40.8046,-96.6157
7,NEBRASKA CANCER SPECIALISTS - OMAHA,"17201 WRIGHT STREET, SUITE 203",OMAHA,NE,68130,,(402),691-5257,,,https://nebraskacancer.com/nuclear-medicine/,,41.2395,-96.2004
8,OKLAHOMA CANCER SPECIALISTS AND RESEARCH INSTITUTE,12697 EAST 51ST STREET SOUTH,TULSA,OK,74146,,(918),505-3261,,,https://ocsri.org/,,36.0882,-95.8459
9,MAYO CLINIC ARIZONA,5881 E. MAYO BLVD,PHOENIX,AZ,85054,,(480),301-8000,,,mayoclinic.org,,33.6923,-111.9403
10,ARIZONA CENTER FOR CANCER CARE,"3645 SOUTH ROME STREET, SUITE 116",GILBERT,AZ,85297,,(480),278-8300,,,https://arizonaccc.com/,,33.2775,-111.7317
11,HIGHLANDS ONCOLOGY,808 SOUTH 52ND STREET,ROGERS,AR,72758,,(479),249-9027,,,,,36.2989,-94.1719
12,GENESISCARE,"12606 GREENVILLE AVENUE, SUITE 160",DALLAS,TX,75243,,(469),364-7880,,,https://genesiscare.com,,32.9087,-96.7387
13,"MHEALTH FAIRVIEW, UNIVERSITY OF MINNESOTA MEDICAL CENTER","500 HARVARD ST, SE",MINNEAPOLIS,MN,55455,THERANOSTICS DEPARTMENT,(612),273-5760,,,,,44.9742,-93.2342
14,"MAYO CLINIC, ROCHESTER, MINNESOTA",200 1ST ST. SW,ROCHESTER,MN,55905,,,,,,,,44.0557,-92.5254
15,GENESISCARE,77840 FLORA ROAD,PALM DESERT,CA,92211,,(760),200-8777,,,,,33.7638,-116.3427
16,"AUSTIN RADIOLOGICAL ASSOCIATION MSO, LLC",901 W 38TH ST STE 100,AUSTIN,TX,78705,RADIOLOGY,(512),519-3456,,,http://www.ausrad.com/exams-services/theranostics/,,30.2962,-97.739
17,CENTRAL ARKANSAS RADIATION THERAPY INSTITUTE (CARTI),8901 CARTI WAY,LITTLE ROCK,AR,72205,,(501),296-3253,,,https://www.carti.com/,,34.7487,-92.3542
18,LOMA LINDA UNIVERSITY HEALTH,11234 ANDERSON ST.,LOMA LINDA,CA,92354,,(909),651-5333,,,https://lluh.org/cancer-center/cancer-treatments/theranostics,,34.0484,-117.25
19,SSM HEALTH ST. LOUIS UNIVERSITY HOSPITAL,1201 S. GRAND BLVD,ST. LOUIS,MO,63104,,(314),257-3252,,,,,38.616,-90.2292
20,TEMECULA VALLEY NUCLEAR MEDICNE,"25485 MEDICAL CENTER DR., STE 102",MURRIETA,CA,92562,,(951),698-4808,,,,,33.5262,-117.3381
21,SUMMIT CANCER CARE,6001 N MAYFAIR ST,SPOKANE,WA,99208,,(509),462-2273,,,https://www.summitcancercenter.com/,,47.6761,-117.2109
22,HOAG FAMILY CANCER INSTITUTE,16105 SAND CANYON AVE SUITE 215,IRVINE,CA,92618,,(949),557-0285,,,https://www.hoag.org/cancer,,33.6652,-117.7491
23,UCI MEDICAL CENTER,"101 THE CITY DRIVE SOUTH, BLDG 20",ORANGE,CA,92868,,(714),456-7237,,,https://radiology.uci.edu/,,33.7866,-117.8751
24,"MARSHFIELD MEDICAL CENTER, MARSHFIELD CLINIC HEALTH SYSTEM","611 ST. JOSEPH AVENUE, ATTN. NUCLEAR MEDICINE",MARSHFIELD,WI,54449,,(715),387-7787,,,,,44.5877,-90.187
25,UC SAN DIEGO HEALTH,200 WEST ARBOR DR,SAN DIEGO,CA,92103,,,,,,https://health.ucsd.edu/patients/Pages/default.aspx,,32.7498,-117.1677
26,SCRIPPS MERCY,4077 FIFTH AVE,SAN DIEGO,CA,92103,,(619),686-3767,,,,,32.7498,-117.1677
27,INLAND IMAGING,5715 N LIDGERWOOD ST,SPOKANE,WA,99208,,(509),363-7554,,,www.inlandimaging.com,,47.7872,-117.4645
28,UNIVERSITY OF WISCONSIN HOSPITAL,600 HIGHLAND AVE.,MADISON,WI,53792,CONSULTATION,(608),263-8500,,,https://www.uwhealth.org/locations/uw-carbone-cancer-center-228,,43.0773,-89.4308
29,LONG BEACH MEMORIALCARE MEDICAL CENTER,2801 ATLANTIC AVE,LONG BEACH,CA,90806,NUCLEAR MEDICINE - PETDEPT.,(562),933-2247,,,,,33.8065,-118.1913
30,UCLA NUCLEAR MEDICINE AND THERANOSTIC CENTER,200 MEDICAL PLAZA SUITE B114,LOS ANGELES,CA,90095,,(310),794-1005,,,,,34.0703,-118.4441
31,EXCEL DIAGNOSTICS & NUCLEAR ONCOLOGY CENTER,9701 RICHMOND AVENUE # 122,HOUSTON,TX,77042,,(713),781-6200,,,https://www.exceldiagnostics.com/,,29.7247,-95.5565
32,FROEDTERT HOSPITAL,9200 WEST WISCONSIN AVENUE,MILWAUKEE,WI,53226,,,,,,,,43.0513,-88.0412
33,ADVOCATE AURORA ST. LUKE'S MEDICAL CENTER,2900 W. OKLAHOMA AVENUE,MILWAUKEE,WI,53215,,,,,,,,42.9914,-87.9433
34,"MIDWESTERN REGIONAL MEDICAL CENTER, INC. (CTCA-CHICAGO)",2520 ELISHA AVENUE,ZION,IL,60099,,(855),718-7981,,,https://www.cancercenter.com,,42.4425,-87.8452
35,STANFORD HOSPITAL AND CLINICS,300 PASTEUR DR,PALO ALTO,CA,94305,,(650),725-8264,,,https://med.stanford.edu/nuclearmedicine.html,,37.4136,-122.1689
36,PEACEHEALTH SACRED HEART MEDICAL CENTER AT RIVERBEND,3331 RIVERBEND DRIVE,SPRINGFIELD,OR,97477,,(541),222-2729,,,,,44.0599,-123.0179
37,OREGON HEALTH AND SCIENCE UNIVERSITY,3181 SW SAM JACKSON PARK ROAD,PORTLAND,OR,97239,,,,,,https://www.ohsu.edu/school-of-medicine/diagnostic-radiology/nuclear-medicine-and-molecular-imaging-clinic,,45.4874,-122.6876
38,IU HEALTH UNIVERSITY HOSPITAL,550 N UNIVERSITY BLVD,INDIANAPOLIS,IN,46239,NUCLEAR MEDICINE DEPT,(317),994-7777,,,,,39.7256,-86.0085
39,SOUND CANCER CARE,"2940 S MERIDIAN, SUITE 100",PUYALLUP,WA,98373,,(253),200-3166,,,,,47.1474,-122.324
40,SWEDISH MEDICAL CENTER - PROVIDENCE SWEDISH,1221 MADISON SUITE 100,SEATTLE,WA,98102,,(206),386-2323,,,https://www.swedish.org/services/cancer-institute/our-services/radiation-therapy,,47.6338,-122.3215
41,FRED HUTCHINSON CANCER CENTER,1354 ALOHA ST,SEATTLE,WA,98109,,(855),557-0555,,,https://www.seattlecca.org/treatments/nuclear-medicine,,47.6289,-122.3457
42,"BAMF HEALTH, PC","109 MICHIGAN STREET NW, SUITE 200",GRAND RAPIDS,MI,49503,MOLECULAR THERAPY CLINIC,(888),870-8998,,,https://www.bamfhealth.com/patients,,42.9617,-85.6589
43,PROVIDENCE REGIONAL MEDICAL CENTER EVERETT,1717 13THST.,EVERETT,WA,98201,,(425),297-5580,,,,,47.999,-122.1914
